selling_price,kms_driven,car_age,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_type_Manual,owner_type_Fourth & Above Owner,owner_type_Second Owner,owner_type_Test Drive Car,owner_type_Third Owner
60000,70000,18,False,False,False,True,True,False,True,False,False,False,False
135000,50000,18,False,False,False,True,True,False,True,False,False,False,False
600000,100000,13,True,False,False,False,True,False,True,False,False,False,False
250000,46000,8,False,False,False,True,True,False,True,False,False,False,False
450000,141000,11,True,False,False,False,True,False,True,False,True,False,False
140000,125000,18,False,False,False,True,True,False,True,False,False,False,False
550000,25000,9,False,False,False,True,True,False,True,False,False,False,False
240000,60000,11,False,False,False,True,True,False,True,False,True,False,False
850000,25000,10,False,False,False,True,True,False,True,False,False,False,False
365000,78000,8,False,False,False,False,True,False,True,False,False,False,False
260000,35000,10,False,False,False,True,True,False,True,False,False,False,False
250000,100000,11,False,False,False,True,True,False,True,False,False,False,False
1650000,25000,7,False,False,False,True,False,False,False,False,False,False,False
585000,24000,10,False,False,False,True,False,False,True,False,False,False,False
1195000,5000,6,True,False,False,False,False,False,True,False,False,False,False
390000,33000,12,True,False,False,False,True,False,True,False,True,False,False
1964999,28000,11,True,False,False,False,False,False,False,False,False,False,False
1425000,59000,12,True,False,False,False,False,False,False,False,False,False,False
975000,4500,7,True,False,False,False,False,False,False,False,False,False,False
1190000,175900,14,True,False,False,False,False,False,False,False,False,False,False
930000,14500,7,False,False,False,True,False,False,True,False,False,False,False
525000,15000,7,False,False,False,True,True,False,True,False,False,False,False
1735000,50000,12,True,False,False,False,False,False,False,False,False,False,False
1375000,33800,13,True,False,False,False,False,False,False,False,True,False,False
450000,130400,14,True,False,False,False,False,False,False,False,True,False,False
900000,50000,9,False,False,False,True,True,False,False,False,False,False,False
1300000,80000,10,True,False,False,False,True,False,True,False,False,False,False
1400000,10000,6,False,False,False,True,True,False,True,False,False,False,False
850000,119000,15,False,False,False,True,False,False,False,False,False,False,False
229999,60000,11,False,False,False,True,True,False,True,True,False,False,False
1550000,75800,12,True,False,False,False,False,False,False,False,True,False,False
1250000,78000,16,True,False,False,False,False,False,False,False,False,False,True
625000,40000,13,True,False,False,False,True,False,True,False,False,False,False
1050000,50000,11,True,False,False,False,True,False,True,False,False,False,False
560000,74000,11,True,False,False,False,True,False,True,False,True,False,False
290000,64000,11,False,False,False,True,True,False,True,False,True,False,False
275000,60000,13,False,False,False,True,True,False,True,False,True,False,False
411000,120000,16,True,False,False,False,True,False,True,False,True,False,False
150000,79000,16,False,False,False,True,True,False,True,False,False,False,True
500000,15000,6,False,False,False,True,True,False,True,False,False,False,False
100000,80000,19,False,False,False,True,True,False,True,False,False,False,False
